Rating,Date,Sentiment,Review content English,Actual Date
1,a month ago,negative,"I thank Nahed Al -Juhani to receive the rays, may God make her very happy, cheeks, cheerful, and serve her heart, and Dr. Ahmed Zaki, Department of Women and birth, the first time, I go to my condition for my condition, and after his suffering 7 days, he said in you, his refuge, and spent medications that cost 40 regrets, I was reviewing",2024-06-10 08:15:12.709766
1,a month ago,negative,"The worst of the pharmacy is more than half an hour, waiting not, all is reasonable. The pharmacist gives you",2024-06-10 08:15:12.709766
5,a month ago,positive,"The emergency, my daughter, may God be pleased with the employee, Rawan Al -Suraihi",2024-06-10 08:15:12.709766
5,a month ago,positive,"Thank you for the good deal, especially mentioning the employees of the radiology department, the employee, Maha Al -Mutairi",2024-06-10 08:15:12.709766
1,a month ago,negative,"A failed hospital, by all accounts, no medical staff diagnostic services and even bad hygiene and bad deal",2024-06-10 08:15:12.709766
5,a month ago,positive,"The nursing staff are all excellent, the patient's service, may God give them wellness",2024-06-10 08:15:12.709766
5,a month ago,positive,"Do not thank people, God does not thank God.",2024-06-10 08:15:12.709766
5,a month ago,positive,Peace be upon you.,2024-06-10 08:15:12.709766
5,a month ago,positive,"The teacher Amal Al -Balawi has a position that does not envy the pressure of the most elderly person and the truth is the most well -treated and the drained behavior with them. Also, my mother served a service that is unable. I thank you all.",2024-06-10 08:15:12.709766
5,a month ago,positive,"The best and best dealing with the shop employees in all its safety, sincerity and efforts, and thank you for the depths of my heart",2024-06-10 08:15:12.709766
5,a month ago,positive,luxury,2024-06-10 08:15:12.709766
5,a month ago,positive,"Excellent, wonderful and cooperative service",2024-06-10 08:15:12.709766
5,a month ago,positive,"Princess responsible for the exit is a cooperative, understanding and upscale employee",2024-06-10 08:15:12.709766
5,a month ago,positive,Abdullah saad is very good,2024-06-10 08:15:12.709766
1,a month ago,negative,"Sayyin appointments are barriers, a confirmed date of 11 30 p.",2024-06-10 08:15:12.709766
5,a month ago,positive,"Very comfortable dealing with the hospital, the crew is a professional and a collaborator.",2024-06-10 08:15:12.709766
1,a month ago,negative,"We apologize, causing your inconvenience and your consent, please send the problem in detail by the following mail, MPEXperance Sghgroup Net",2024-06-10 08:15:12.709766
5,a month ago,positive,"I would like to thank the receptionist, the radiology department, her kindness, good dealing, and high morals, employee Nahid deserves thanks and appreciation",2024-06-10 08:15:12.709766
5,a month ago,positive,"The hospital is clean and interest in the patient, God bless you",2024-06-10 08:15:12.709766
5,a month ago,positive,"The very medical cadre hospital, Mumtaz, Dr. Talal Al -Jerisi, God is the ethics of dealing and his teacher, God is happy with respect.",2024-06-10 08:15:12.709766
4,a month ago,positive,"Saudi German Hospital, God willing, attention, cleanliness, and all respect and attention",2024-06-10 08:15:12.709766
5,a month ago,positive,"I would like to thank Dr. Muhammad Waheed, the nurse, Marwa, Sarah, and the coordinator of the exit.",2024-06-10 08:15:12.709766
5,a month ago,positive,"Thank you, Dr. Ahmed Zaki, Dr. Omar, Professor Mashael, Nurse Ahmed, gives you wellness, Lord",2024-06-10 08:15:12.709766
5,a month ago,positive,"Thank you, Dr. Arwa Al -Tawari, the depths.",2024-06-10 08:15:12.709766
5,a month ago,positive,Hospital is distinguished and has a respectable medical staff,2024-06-10 08:15:12.709766
5,a month ago,positive,The finest hospitals are sick dealing,2024-06-10 08:15:12.709766
3,a month ago,neutral,"The services are excellent and the doctor gives you your time, but a little delay in reception and the pharmacy feels that they make the medicine delay not normal",2024-06-10 08:15:12.709766
5,a month ago,positive,A very excellent nutritional specialist,2024-06-10 08:15:12.709766
5,a month ago,positive,"Thanks and appreciation to Dr. Raghad Al -Juhani, a valuable lecture and a wonderful offering",2024-06-10 08:15:12.709766
5,a month ago,positive,The specialist Raghad is excellent,2024-06-10 08:15:12.709766
5,a month ago,positive,The specialist Raghad is excellent,2024-06-10 08:15:12.709766
5,a month ago,positive,The specialist Raghad is excellent,2024-06-10 08:15:12.709766
5,a month ago,positive,Raghad specialist with excellent nutrition,2024-06-10 08:15:12.709766
5,a month ago,positive,I do not thank God. I thank the receptionist employees.,2024-06-10 08:15:12.709766
1,a month ago,negative,"It is forbidden for the least star, I gave the bad pharmacy, I mean, take a number, and in 7 windows for the pharmacy, there is a window to take my treatment. Wait for an hour to 40 minutes.",2024-06-10 08:15:12.709766
2,2 months ago,negative,Doctors are excellent Talal Al -Jeraisy and Aklidi Ring,2024-05-11 08:15:12.709766
1,2 months ago,negative,"In all honesty and in all neutrality, and after several experiences, many hospital",2024-05-11 08:15:12.709766
1,2 months ago,negative,"Unfortunately, the shameful and the radiology department is with such a bad and slow service and that it belongs to a large hospital, such as the Saudi -German Hospital, mocking the auditors and their times are acceptable for 3 days to make an audio -ray image and wait for the text of an hour. There is an employee to receive an experience and will not be repeated",2024-05-11 08:15:12.709766
5,2 months ago,positive,I thank Dr. Ahmed Abdullah Akham,2024-05-11 08:15:12.709766
5,2 months ago,positive,"May God give her wellness, Nahed Al -Juhani, the radiology department.",2024-05-11 08:15:12.709766
1,2 months ago,negative,Very bad deal,2024-05-11 08:15:12.709766
5,2 months ago,positive,"Excellent crew doctors and there is a good service reception and nursing staff. I am treating Dr. Basma Jaber, God willing",2024-05-11 08:15:12.709766
3,2 months ago,neutral,"The hospital needs to be renewed for patients and toilets. There are animated chairs for the elderly and those with anxiety and all the existing moving chairs are dilapidated. The gates are available, especially the dialysis portal",2024-05-11 08:15:12.709766
1,2 months ago,negative,"I am your opponent on the Day of Resurrection, Dr. Abdulaziz Bakhsh",2024-05-11 08:15:12.709766
5,2 months ago,positive,"I thank the Saudi German Hospital, specifically the alternate director, Yasser Al -Sarrani, Nursing Abdel Nasser, Sherif, Shaima, and Islam, may God reward them with their best service to my father",2024-05-11 08:15:12.709766
3,2 months ago,neutral,Long wait and the radiation section of no one and write the report a little delayed intermediate experience,2024-05-11 08:15:12.709766
2,2 months ago,negative,"Frankly, I expected the best complexity of the procedures",2024-05-11 08:15:12.709766
1,2 months ago,negative,You can call them a year,2024-05-11 08:15:12.709766
5,2 months ago,positive,"Do not thank people, God does not thank them. I thank them for their giving",2024-05-11 08:15:12.709766
1,2 months ago,negative,The least star,2024-05-11 08:15:12.709766
5,2 months ago,positive,"My experience, in all honesty, accompanying my wife for 3 days, I love thank the hospital, especially thanks, my brother Khaled Al -Ghamdi, the nurses, Maryam, the believer of the Department of Women and Gynecology, cleaning, Fatima, and God is dealing, service and moral",2024-05-11 08:15:12.709766
1,2 months ago,negative,"Very, very, very, very long waiting for a long long",2024-05-11 08:15:12.709766
5,2 months ago,positive,A cooperative team and an excellent hospital.,2024-05-11 08:15:12.709766
5,2 months ago,positive,"Review the Department of Women, Dr. Ahmed Zaki, a wonderful doctor, and may God make him happy, and I made a detailed radiation, a very accurate sacrifice, and you give you and keep you",2024-05-11 08:15:12.709766
5,2 months ago,positive,"In the medical procedures room, the nurse, Safaa Ahmed, took care of us with more requirements and focused the procedures and the amount of doses that we complete in the house with adequate explanation. Also, we warned us, we forget the sick leave, comprehensive care, thank you, Professor Safaa",2024-05-11 08:15:12.709766
5,2 months ago,positive,"May God, the morals of the teacher, waves of patients, I will come and ask for help",2024-05-11 08:15:12.709766
5,2 months ago,positive,"Al -Batiniya Clinic, Dr. Basma",2024-05-11 08:15:12.709766
4,2 months ago,positive,The place and services are beautiful and excellent dealing,2024-05-11 08:15:12.709766
1,2 months ago,negative,"A very bad hospital, the emergency entered the doctor, revealing my throat with a mobile scout.",2024-05-11 08:15:12.709766
1,2 months ago,negative,"I booked the date of the women's and birth clinic, waited for two hours, and I walked a bad experience",2024-05-11 08:15:12.709766
5,2 months ago,positive,Distinguished Hospital,2024-05-11 08:15:12.709766
2,2 months ago,negative,"We apologize, causing your inconvenience and your consent, please send the problem in detail by the following mail, MPEXperance Sghgroup Net",2024-05-11 08:15:12.709766
5,2 months ago,positive,"Zaman Hospital I deal with excellent children clinic, Dr. Ahmed Sobhi, the best doctors, Marou Ali, with a autistic child and Hadi, may God bless his work, and negative thing.",2024-05-11 08:15:12.709766
1,2 months ago,negative,"We apologize, causing your inconvenience and your consent, please send the problem in detail by the following mail, MPEXperance Sghgroup Net",2024-05-11 08:15:12.709766
1,2 months ago,negative,The pharmacy is late,2024-05-11 08:15:12.709766
5,2 months ago,positive,We are here what we have umrah my wif Ran Out of Her Pain Medicine Very PROFESSIONAL Staff Took Care of PRESCRIBING and Filling It Just Like Being on a Western Hospital,2024-05-11 08:15:12.709766
1,3 months ago,negative,"A department of God is the least star of God, and God is surrounded because you do not deserve the emergency department. It lacks a lot of professionalism in particular.",2024-04-11 08:15:12.709766
4,3 months ago,positive,Medium,2024-04-11 08:15:12.709766
5,3 months ago,positive,"The evaluation of the sister, Afrah Issa Al -Issa, thank you for support, and thankful to his settle",2024-04-11 08:15:12.709766
2,3 months ago,negative,A very bad hospital for a year,2024-04-11 08:15:12.709766
5,3 months ago,positive,"I thank the organizers of the initiative of the German nurse, Khaled and the teacher, Afrah Al -Essa, especially Nawaf Al -Ghamdi",2024-04-11 08:15:12.709766
5,3 months ago,positive,"I thank the organizers of our doctors, to serve the visitors of the Prophet’s Mosque.",2024-04-11 08:15:12.709766
5,3 months ago,positive,Thanks Farah Alyssa Meet You My Best Doctor,2024-04-11 08:15:12.709766
5,3 months ago,positive,"We thank the joys of Al -Issa, our service to the Prophet’s campus and its help",2024-04-11 08:15:12.709766
5,3 months ago,positive,"I thank Professor Afrah Al -Issa, Professor Nawaf Al -Ghamdi and the nurse Khaled, their beautiful soul, the sanctuary",2024-04-11 08:15:12.709766
5,3 months ago,positive,"I thank the employee Afrah Al -Issa, Nawaf Al -Ghamdi and the nurse Khaled for serving the guests of the Haram",2024-04-11 08:15:12.709766
1,3 months ago,negative,"In inquiring you, a service to be a perpetum",2024-04-11 08:15:12.709766
3,3 months ago,neutral,"A special thanks to Areej Al -Harbi, the career of the care of the patients, may God make her happy a wonderful person and treat her is nice and she is with you the beginning of your entry.",2024-04-11 08:15:12.709766
5,3 months ago,positive,"I thank the employee Afrah Al -Essa, the high treatment of the mosque's day",2024-04-11 08:15:12.709766
5,3 months ago,positive,Excellent Service,2024-04-11 08:15:12.709766
5,3 months ago,positive,Vry Good Services,2024-04-11 08:15:12.709766
5,3 months ago,positive,HAD An amazing Experience Visiting Medical Kiosk at Masjid e nabwi Great Staff,2024-04-11 08:15:12.709766
5,3 months ago,positive,I thank the wedding of Al -Essa Nawaf Al -Ghamdi and the nurse Uday,2024-04-11 08:15:12.709766
5,3 months ago,positive,"Thank you for the patient service waves, which helped us wonderfully",2024-04-11 08:15:12.709766
5,3 months ago,positive,"My experience of the physiotherapy department in the hospital as a result of the lower back pain and the sessions of manual treatment, Dr. Heba, may God honor her.",2024-04-11 08:15:12.709766
3,3 months ago,neutral,"The medical aspect and the services are very excellent, but I face a continuous problem for a long time in my place, and I have an appointment waiting for the queues to pay and print the bill.",2024-04-11 08:15:12.709766
4,3 months ago,positive,Who will separate the doctor of the birth of Marwa and Najwa? I hope to respond with all frankness,2024-04-11 08:15:12.709766
3,3 months ago,neutral,You make up your contact number thrive whats app for appointment,2024-04-11 08:15:12.709766
1,3 months ago,negative,"We apologize, causing your inconvenience and your consent, please send the problem in detail by the following mail, MPEXperance Sghgroup Net",2024-04-11 08:15:12.709766
5,3 months ago,positive,"Thank you, Nawaf Al -Ghamdi, Events",2024-04-11 08:15:12.709766
5,3 months ago,positive,"Treat the upscale of the Al -Tawari section, thank you for your care for the child Ezz",2024-04-11 08:15:12.709766
4,3 months ago,positive,A good hospital. I hope attention is the subject of hygiene and arrangement,2024-04-11 08:15:12.709766
5,3 months ago,positive,Special thanks to Nawaf Al -Ghamdi,2024-04-11 08:15:12.709766
5,3 months ago,positive,"Thank you, Nawaf Al -Ghamdi",2024-04-11 08:15:12.709766
5,3 months ago,positive,"Thank you, Professor Nawaf Al -Ghamdi, his cooperation previously",2024-04-11 08:15:12.709766
5,3 months ago,positive,"Thanks to Professor Nawaf Al -Ghamdi, events",2024-04-11 08:15:12.709766
5,3 months ago,positive,I thank the Saudi German Hospital and Professor Nawaf Al -Ghamdi to provide the opportunity to identify the services and offers of the hospital,2024-04-11 08:15:12.709766
5,3 months ago,positive,Thanks to Nawaf Al -Ghamdi,2024-04-11 08:15:12.709766
5,3 months ago,positive,"Dr. Nawaf Al -Ghamdi, Masha Allah",2024-04-11 08:15:12.709766
4,3 months ago,positive,God bless Dr. Nawaf Al -Ghamdi,2024-04-11 08:15:12.709766
5,3 months ago,positive,"We thank Professor Nawaf Al -Ghamdi, his cooperation, respect and appreciation with us",2024-04-11 08:15:12.709766
5,3 months ago,positive,I thank Nawaf Al -Ghamdi his great events,2024-04-11 08:15:12.709766
5,3 months ago,positive,"Thanks to Professor Nawaf Al -Ghamdi, the event was very beautiful",2024-04-11 08:15:12.709766
5,3 months ago,positive,"Thank you, Nawaf Al -Ghamdi, effective",2024-04-11 08:15:12.709766
5,3 months ago,positive,A good event for Brother Nawaf Al -Ghamdi,2024-04-11 08:15:12.709766
5,3 months ago,positive,"God willing, and I thank the teacher Nawaf Al -Ghamdi his efforts",2024-04-11 08:15:12.709766
5,3 months ago,positive,Thanks - Nawaf Al -Ghamdi the most wonderful events,2024-04-11 08:15:12.709766
5,3 months ago,positive,Thanks to Al -Ghamdi Nawaf Al -Murdiyyan activities,2024-04-11 08:15:12.709766
5,3 months ago,positive,"I thank the German German, the various events, I received my advantage, and we thank Professor Nawwaf Al -Ghamdi.",2024-04-11 08:15:12.709766
5,3 months ago,positive,"Thank you, Nawaf Al -Ghamdi, the events and efforts made",2024-04-11 08:15:12.709766
5,3 months ago,positive,"Thank you, Nawaf Al -Ghamdi, Events",2024-04-11 08:15:12.709766
5,3 months ago,positive,"I banned the activities of the German German, I liked the organization, and I thank Professor Nawaf Al -Ghamdi",2024-04-11 08:15:12.709766
5,3 months ago,positive,"I thank the German German, the beautiful events, I won my advantage, and I thank Professor Nawaf Al -Ghamdi.",2024-04-11 08:15:12.709766
5,3 months ago,positive,We Need Ms Aya AS Supervisor She is Professional and Helping Staff and Solving Problems With Any Haz Not Makeing Difference Between Staff Moreover She is Dealing WithAll Staff in Professional and polite Way few,2024-04-11 08:15:12.709766
5,3 months ago,positive,"We thank the efforts of Dr. Ahmed Zaki and the employee, waves of patients' relations, their service, cooperation and facilitation of my entry procedures for the doctor",2024-04-11 08:15:12.709766
5,3 months ago,positive,"Thanks to the employee, Fatima Khoj, her service, efforts and high morals",2024-04-11 08:15:12.709766
1,3 months ago,negative,"The worst hospital, I did not know the mercy of mercy",2024-04-11 08:15:12.709766
5,3 months ago,positive,Great service,2024-04-11 08:15:12.709766
5,3 months ago,positive,Beautiful Service Abdulaziz Kwes,2024-04-11 08:15:12.709766
5,3 months ago,positive,Service is a shadow and a servant of Abdulaziz,2024-04-11 08:15:12.709766
5,3 months ago,positive,excellent service,2024-04-11 08:15:12.709766
5,3 months ago,positive,"Thank you, Professor Fatima Khoj, for the cooperation of everyone and to provide what she can help to ask the matter with great success for everyone",2024-04-11 08:15:12.709766
